formulaRank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScoreNormalized,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks(ppm),medianAbsoluteMassErrorFragmentPeaks(ppm),massErrorPrecursor(ppm),lipidClass,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
5,C7H6N3O,[M + H]+,C7H7N3O+,,0.000,6.094,6.094,0.000,3,0.868,7.540,7.540,13.216,,149.060,777,12.942,745832805665470120,745741636963424251,1360,
6,C3H9N4OP,[M + H]+,C3H10N4OP+,,0.000,-1.166,-1.166,0.000,3,0.868,4.777,6.240,11.131,,149.060,777,12.942,745832805665470121,745741636963424251,1360,
1,C12H18N2O4S2,[M + H]+,C12H19N2O4S2+,,0.928,25.457,25.457,0.000,11,0.866,-0.957,5.759,5.415,,319.080,777,12.945,745832809079634562,745741801992542131,9537,
2,C14H14BNO5S,[M + H]+,C14H15BNO5S+,,0.051,22.546,22.546,0.000,9,0.868,-6.106,6.106,1.007,,319.080,777,12.945,745832809079634563,745741801992542131,9537,
3,C17H18O2S2,[M + H]+,C17H19O2S2+,,0.020,21.615,21.615,0.000,9,0.870,-6.732,6.732,-7.192,,319.080,777,12.945,745832809079634564,745741801992542131,9537,
4,C20H14O2S,[M + H]+,C20H15O2S+,,0.001,18.582,18.582,0.000,8,0.865,-6.650,6.650,3.373,,319.080,777,12.945,745832809079634565,745741801992542131,9537,
5,C16H14O7,[M + H]+,C16H15O7+,,0.000,16.493,14.138,2.355,6,0.347,-6.813,6.813,-4.468,,319.080,777,12.945,745832809079634566,745741801992542131,9537,
6,C10H19ClO9,[M + H]+,C10H20ClO9+,,0.000,16.401,16.401,0.000,7,0.351,-4.155,7.281,2.404,,319.080,777,12.945,745832809079634567,745741801992542131,9537,
7,C14H12N3O6,[M + H]+,C14H13N3O6+,,0.000,15.908,13.305,2.603,11,0.913,-1.094,4.364,-0.260,,319.080,777,12.945,745832809079634568,745741801992542131,9537,
8,C11H14N2O9,[M + H]+,C11H15N2O9+,,0.000,15.409,14.957,0.453,10,0.558,4.782,7.748,8.139,,319.080,777,12.945,745832809079634569,745741801992542131,9537,
9,C12H14F2N3O3S,[M + H]+,C12H15F2N3O3S+,,0.000,15.150,15.150,0.000,12,0.911,-1.654,5.561,0.418,,319.080,777,12.945,745832809079634570,745741801992542131,9537,
10,C15H9F3N4O,[M + H]+,C15H10F3N4O+,,0.000,10.762,8.415,2.347,7,0.857,-6.130,6.130,-0.998,,319.080,777,12.945,745832809079634571,745741801992542131,9537,
1,C16H14O7,[M + Na]+,C16H14NaO7+,,0.851,8.771,6.457,2.315,3,0.221,-4.046,4.046,-6.628,,341.061,777,12.945,745832815257845119,745741830257962387,10937,
2,C14H12N3O6,[M + Na]+,C14H12N3NaO6+,,0.039,5.690,3.002,2.687,6,0.378,0.637,6.343,-2.691,,341.061,777,12.945,745832815257845120,745741830257962387,10937,
3,C12H10F4N4O2,[M + Na]+,C12H10F4N4NaO2+,,0.039,5.683,3.745,1.938,4,0.325,-0.406,0.637,-6.732,,341.061,777,12.945,745832815257845121,745741830257962387,10937,
4,C15H9F3N4O,[M + Na]+,C15H9F3N4NaO+,,0.031,5.450,3.051,2.399,4,0.325,0.637,6.343,-3.381,,341.061,777,12.945,745832815257845122,745741830257962387,10937,
5,C11H14N2O9,[M + Na]+,C11H14N2NaO9+,,0.030,5.417,4.535,0.882,4,0.250,-1.535,1.631,5.167,,341.061,777,12.945,745832815257845123,745741830257962387,10937,
6,C12H18N2O4S2,[M + Na]+,C12H18N2NaO4S2+,,0.003,3.048,3.048,0.000,3,0.221,-1.583,2.209,2.619,,341.061,777,12.945,745832815257845124,745741830257962387,10937,
7,C12H10N6O5,[M + Na]+,C12H10N6NaO5+,,0.003,2.955,0.941,2.014,3,0.221,-1.583,1.583,1.246,,341.061,777,12.945,745832815257845125,745741830257962387,10937,
8,C14H13F3O5,[M + Na]+,C14H13F3NaO5+,,0.001,2.328,-0.537,2.865,3,0.221,-1.583,1.583,0.540,,341.061,777,12.945,745832815257845126,745741830257962387,10937,
9,C14H14BNO5S,[M + Na]+,C14H14BNNaO5S+,,0.001,1.881,1.881,0.000,3,0.221,-1.583,1.583,-1.505,,341.061,777,12.945,745832815257845127,745741830257962387,10937,
10,C12H14F2N3O3S,[M + Na]+,C12H14F2N3NaO3S+,,0.001,1.356,1.356,0.000,6,0.378,-0.406,1.890,-2.056,,341.061,777,12.945,745832815257845128,745741830257962387,10937,
1,C13H20N4O9,[M + H]+,C13H21N4O9+,,0.931,40.354,39.765,0.589,14,0.935,0.203,4.407,2.846,,377.131,777,12.945,745832825097683801,745741877204815743,13108,
2,C18H20N2O7,[M + H]+,C18H21N2O7+,,0.033,37.017,35.249,1.768,14,0.924,0.203,4.550,-7.820,,377.131,777,12.945,745832825097683802,745741877204815743,13108,
3,C14H16N8O5,[M + H]+,C14H17N8O5+,,0.030,36.922,35.268,1.654,13,0.911,0.260,3.729,-0.700,,377.131,777,12.945,745832825097683803,745741877204815743,13108,
4,C19H18F2N2O4,[M + H]+,C19H19F2N2O4+,,0.004,34.808,32.413,2.395,12,0.913,-0.540,4.108,1.692,,377.131,777,12.945,745832825097683804,745741877204815743,13108,
5,C14H24N4O4S2,[M + H]+,C14H25N4O4S2+,,0.002,34.285,34.285,0.000,12,0.912,-3.065,4.180,0.542,,377.131,777,12.945,745832825097683805,745741877204815743,13108,
6,C16H18N5O6,[M + H]+,C16H19N5O6+,,0.000,30.604,28.289,2.315,12,0.903,-4.843,5.712,-4.260,,377.131,777,12.945,745832825097683806,745741877204815743,13108,
7,C17H20N4O4S,[M + H]+,C17H21N4O4S+,,0.000,28.649,28.649,0.000,11,0.903,1.394,5.049,9.481,,377.131,777,12.945,745832825097683807,745741877204815743,13108,
8,C14H18F6N2O3,[M + H]+,C14H19F6N2O3+,,0.000,28.370,27.963,0.407,13,0.921,0.260,3.310,5.144,,377.131,777,12.945,745832825097683808,745741877204815743,13108,
9,C25H16N2O2,[M + H]+,C25H17N2O2+,,0.000,26.942,26.942,0.000,8,0.870,0.827,4.180,7.753,,377.131,777,12.945,745832825097683809,745741877204815743,13108,
10,C17H17F5N2O2,[M + H]+,C17H18F5N2O2+,,0.000,26.678,25.854,0.824,13,0.921,2.861,4.202,8.174,,377.131,777,12.945,745832825097683810,745741877204815743,13108,
1,C15H28O2,[M + H]+,C15H29O2+,,1.000,57.099,55.635,1.463,15,0.715,-0.453,3.293,4.155,,241.217,777,12.946,745832809079634559,745741711542358319,5021,
2,C13H26N3O,[M + H]+,C13H27N3O+,,0.000,29.339,29.339,0.000,16,0.811,2.348,4.374,9.721,,241.217,777,12.946,745832809079634560,745741711542358319,5021,
3,C3H22N13,[M + H]+,C3H23N13+,,0.000,-6.291,-6.291,0.000,3,0.186,-0.661,9.751,-9.039,,241.217,777,12.946,745832809079634561,745741711542358319,5021,
1,C12H18N2O4S2,[M + H3N + H]+,C12H22N3O4S2+,,0.479,30.295,30.295,0.000,14,0.764,-0.112,4.143,3.056,,336.106,777,12.946,745832826901234793,745741823257667655,10598,
2,C12H15FN2O5S,[M + H3N + H]+,C12H19FN3O5S+,,0.255,29.663,29.663,0.000,9,0.692,-0.371,4.623,9.686,,336.106,777,12.946,745832826901234794,745741823257667655,10598,
3,C17H15FO3S,[M + H3N + H]+,C17H19FNO3S+,,0.234,29.577,29.577,0.000,7,0.653,4.623,4.623,-2.283,,336.106,777,12.946,745832826901234795,745741823257667655,10598,
4,C14H19ClO4S,[M + H3N + H]+,C14H23ClNO4S+,,0.019,27.087,27.087,0.000,1,0.014,-4.801,4.801,7.642,,336.106,777,12.946,745832826901234796,745741823257667655,10598,
5,C20H14O2S,[M + H3N + H]+,C20H18NO2S+,,0.007,26.043,26.043,0.000,3,0.596,1.679,1.679,1.118,,336.106,777,12.946,745832826901234797,745741823257667655,10598,
6,C14H13F3O5,[M + H3N + H]+,C14H17F3NO5+,,0.003,25.058,23.953,1.105,8,0.667,2.408,6.089,0.947,,336.106,777,12.946,745832826901234798,745741823257667655,10598,
7,C20H11FO3,[M + H3N + H]+,C20H15FNO3+,,0.001,24.273,23.076,1.197,1,0.354,1.679,1.679,7.747,,336.106,777,12.946,745832826901234799,745741823257667655,10598,
8,C12H12F6O3,[M + H3N + H]+,C12H16F6NO3+,,0.001,23.849,23.849,0.000,1,0.015,4.862,4.862,8.220,,336.106,777,12.946,745832826901234800,745741823257667655,10598,
9,C15H9F3N4O,[M + H3N + H]+,C15H13F3N5O+,,0.001,23.705,22.044,1.661,5,0.625,-0.417,4.540,-3.033,,336.106,777,12.946,745832826901234801,745741823257667655,10598,
10,C15H13FN3O2S,[M + H3N + H]+,C15H17FN4O2S+,,0.000,22.547,22.547,0.000,14,0.766,1.220,3.753,1.712,,336.106,777,12.946,745832826901234802,745741823257667655,10598,
1,C18H27FN4O5,[M + Na]+,C18H27FN4NaO5+,,0.978,17.018,13.667,3.351,9,0.869,-0.887,3.147,-0.527,,421.186,777,12.950,745832818709757908,745741929360995615,15519,
2,C20H30O8,[M + Na]+,C20H30NaO8+,,0.014,12.788,10.931,1.857,4,0.608,1.772,1.772,5.362,,421.186,777,12.950,745832818709757909,745741929360995615,15519,
3,C15H28F2N4O6,[M + Na]+,C15H28F2N4NaO6+,,0.005,11.836,7.509,4.327,4,0.605,-3.363,3.363,-3.241,,421.186,777,12.950,745832818709757910,745741929360995615,15519,
4,C19H25F3N4O2,[M + Na]+,C19H25F3N4NaO2+,,0.001,10.166,9.386,0.780,9,0.869,3.933,7.203,7.990,,421.186,777,12.950,745832818709757911,745741929360995615,15519,
5,C17H31FO9,[M + Na]+,C17H31FNaO9+,,0.000,9.372,5.345,4.027,3,0.572,4.145,4.145,2.648,,421.186,777,12.950,745832818709757912,745741929360995615,15519,
6,C21H26N4O4,[M + Na]+,C21H26N4NaO4+,,0.000,8.738,8.568,0.171,3,0.594,4.847,4.847,2.186,,421.186,777,12.950,745832818709757913,745741929360995615,15519,
7,C16H32FN2O6P,[M + Na]+,C16H32FN2NaO6P+,,0.000,8.207,3.772,4.435,4,0.605,-5.517,5.517,-4.453,,421.186,777,12.950,745832818709757914,745741929360995615,15519,
8,C16H26F4N4O3,[M + Na]+,C16H26F4N4NaO3+,,0.000,8.103,5.177,2.926,4,0.605,5.262,5.262,5.277,,421.186,777,12.950,745832818709757915,745741929360995615,15519,
9,C23H28NO5,[M + Na]+,C23H28NNaO5+,,0.000,6.993,6.993,0.000,3,0.594,-0.190,1.661,-1.002,,421.186,777,12.950,745832818709757916,745741929360995615,15519,
10,C19H31N2O5P,[M + Na]+,C19H31N2NaO5P+,,0.000,6.823,3.440,3.384,4,0.607,-1.732,2.662,-1.739,,421.186,777,12.950,745832818709757917,745741929360995615,15519,
1,C18H33N5O5,[M + K]+,C18H33KN5O5+,,0.988,30.216,30.216,0.000,13,0.817,3.482,5.596,2.871,,438.213,777,12.950,745832815266233738,745741947878851139,16361,
2,C20H35N2O6,[M + K]+,C20H35KN2O6+,,0.011,25.684,25.684,0.000,10,0.810,-0.182,4.082,-0.193,,438.213,777,12.950,745832815266233739,745741947878851139,16361,
3,C23H33N3O3,[M + K]+,C23H33KN3O3+,,0.002,23.877,23.877,0.000,5,0.784,-3.782,3.782,-6.309,,438.213,777,12.950,745832815266233740,745741947878851139,16361,
4,C17H37NO9,[M + K]+,C17H37KNO9+,,0.000,19.403,19.403,0.000,6,0.762,4.557,4.557,5.923,,438.213,777,12.950,745832815266233741,745741947878851139,16361,
5,C21H32F3N3O,[M + K]+,C21H32F3KN3O+,,0.000,18.419,18.419,0.000,2,0.750,-0.720,2.365,-0.730,,438.213,777,12.950,745832815266233742,745741947878851139,16361,
6,C19H29N9O,[M + K]+,C19H29KN9O+,,0.000,18.071,18.071,0.000,2,0.750,-0.170,1.794,-0.181,,438.213,777,12.950,745832815266233743,745741947878851139,16361,
1,C16H22O4,[M + H]+,C16H23O4+,,0.957,58.775,58.032,0.742,14,0.925,1.774,2.779,6.240,,279.161,777,12.958,745832825089295161,745741752705266011,7080,
2,C13H23FO5,[M + H]+,C13H24FO5+,,0.043,55.665,52.390,3.275,14,0.925,-2.607,5.935,2.146,,279.161,777,12.958,745832825089295162,745741752705266011,7080,
3,C14H19FN4O,[M + H]+,C14H20FN4O+,,0.000,48.180,46.277,1.903,15,0.931,0.474,4.612,-2.645,,279.161,777,12.958,745832825089295163,745741752705266011,7080,
4,C12H26O5Si,[M + H]+,C12H27O5Si+,,0.000,42.414,42.414,0.000,13,0.921,2.630,2.928,-5.012,,279.161,777,12.958,745832825089295164,745741752705266011,7080,
5,C15H26OSi2,[M + H]+,C15H27OSi2+,,0.000,38.422,38.422,0.000,14,0.925,0.776,3.111,4.774,,279.161,777,12.958,745832825089295165,745741752705266011,7080,
6,C19H20NO,[M + H]+,C19H21NO+,,0.000,35.148,35.148,0.000,10,0.885,1.924,3.953,-3.360,,279.161,777,12.958,745832825089295166,745741752705266011,7080,
7,C10H23N4O3P,[M + H]+,C10H24N4O3P+,,0.000,34.739,34.069,0.669,13,0.921,3.929,4.612,9.937,,279.161,777,12.958,745832825089295167,745741752705266011,7080,
8,C12H25NO4P,[M + H]+,C12H26NO4P+,,0.000,33.610,30.955,2.655,13,0.921,1.115,2.928,5.127,,279.161,777,12.958,745832825089295168,745741752705266011,7080,
9,C17H18N4,[M + H]+,C17H19N4+,,0.000,31.341,31.341,0.000,14,0.914,2.106,7.107,1.449,,279.161,777,12.958,745832825089295169,745741752705266011,7080,
10,C16H21FNO2,[M + H]+,C16H22FNO2+,,0.000,27.948,26.942,1.006,11,0.888,0.417,6.051,-7.454,,279.161,777,12.958,745832825089295170,745741752705266011,7080,
1,C27H57N11O5,[M + H]+,C27H58N11O5+,,0.763,18.790,15.792,2.998,8,0.929,-0.650,1.654,1.650,,616.463,778,12.972,745832817044618882,745742093966487134,23310,
2,C28H62FN5O8,[M + H]+,C28H63FN5O8+,,0.234,17.609,13.625,3.984,8,0.929,-8.150,8.150,-4.560,,616.463,778,12.972,745832817044618883,745742093966487134,23310,
3,C32H57N9O3,[M + H]+,C32H58N9O3+,,0.002,12.944,12.944,0.000,8,0.929,-5.306,5.306,-4.876,,616.463,778,12.972,745832817044618884,745742093966487134,23310,
4,C31H61N5O7,[M + H]+,C31H62N5O7+,,0.001,11.477,9.636,1.841,5,0.705,-3.313,3.313,-2.706,,616.463,778,12.972,745832817044618885,745742093966487134,23310,
5,C36H61N3O5,[M + H]+,C36H62N3O5+,,0.000,8.559,8.559,0.000,4,0.487,-3.253,3.253,-9.232,,616.463,778,12.972,745832817044618886,745742093966487134,23310,
6,C38H57N5O2,[M + H]+,C38H58N5O2+,,0.000,7.171,7.171,0.000,3,0.385,4.886,4.886,6.821,,616.463,778,12.972,745832817044618887,745742093966487134,23310,
7,C43H57N3,[M + H]+,C43H58N3+,,0.000,3.499,3.499,0.000,1,0.246,-1.732,2.032,0.296,,616.463,778,12.972,745832817044618888,745742093966487134,23310,
1,C20H28O2,[M + H]+,C20H29O2+,,1.000,57.959,57.959,0.000,19,0.653,-1.474,2.511,0.541,,301.216,778,12.974,745832825122849652,745741781209761659,8499,
2,C15H27FN3O2,[M + H]+,C15H28FN3O2+,,0.000,42.904,40.894,2.010,21,0.731,-0.664,2.423,1.205,,301.216,778,12.974,745832825122849653,745741781209761659,8499,
3,C17H29FO3,[M + H]+,C17H30FO3+,,0.000,33.985,31.505,2.479,18,0.653,-4.524,4.524,-3.253,,301.216,778,12.974,745832825122849654,745741781209761659,8499,
4,C10H26F2N6O2,[M + H]+,C10H27F2N6O2+,,0.000,28.035,26.678,1.357,21,0.731,0.559,2.592,1.868,,301.216,778,12.974,745832825122849655,745741781209761659,8499,
5,C18H26N3O,[M + H]+,C18H27N3O+,,0.000,25.178,25.178,0.000,20,0.645,1.799,2.985,4.999,,301.216,778,12.974,745832825122849656,745741781209761659,8499,
6,C16H24N6,[M + H]+,C16H25N6+,,0.000,20.773,20.773,0.000,17,0.656,1.862,4.755,9.456,,301.216,778,12.974,745832825122849657,745741781209761659,8499,
7,C16H31NO2P,[M + H]+,C16H32NO2P+,,0.000,15.220,12.750,2.470,18,0.594,-1.223,2.475,-0.490,,301.216,778,12.974,745832825122849658,745741781209761659,8499,
8,C13H25FN6O,[M + H]+,C13H26FN6O+,,0.000,9.566,8.489,1.077,21,0.718,2.932,3.381,5.662,,301.216,778,12.974,745832825122849659,745741781209761659,8499,
9,C15H28F4O,[M + H]+,C15H29F4O+,,0.000,7.517,5.493,2.024,18,0.616,-1.540,4.843,4.863,,301.216,778,12.974,745832825122849660,745741781209761659,8499,
10,C18H27F3,[M + H]+,C18H28F3+,,0.000,6.901,6.901,0.000,16,0.533,1.924,2.475,8.657,,301.216,778,12.974,745832825122849661,745741781209761659,8499,
1,C10H10O2,[M + H]+,C10H11O2+,,0.999,43.025,41.760,1.265,5,0.872,2.196,3.798,3.412,,163.076,779,12.977,745832825093489491,745741646522244871,1811,
2,C7H11FO3,[M + H]+,C7H12FO3+,,0.001,35.679,33.476,2.203,4,0.862,-8.893,8.893,-3.596,,163.076,779,12.977,745832825093489492,745741646522244871,1811,
3,C5H9FN3O2,[M + H]+,C5H10FN3O2+,,0.000,29.197,28.651,0.545,5,0.872,3.836,5.321,4.638,,163.076,779,12.977,745832825093489493,745741646522244871,1811,
4,C6H13NO2P,[M + H]+,C6H14NO2P+,,0.000,24.256,22.503,1.753,4,0.862,0.165,0.970,1.507,,163.076,779,12.977,745832825093489494,745741646522244871,1811,
5,C8H8N3O,[M + H]+,C8H9N3O+,,0.000,23.401,23.401,0.000,4,0.862,4.198,11.631,11.646,,163.076,779,12.977,745832825093489495,745741646522244871,1811,
6,C4H11N4OP,[M + H]+,C4H12N4OP+,,0.000,13.691,13.691,0.000,4,0.862,0.165,9.517,9.740,,163.076,779,12.977,745832825093489496,745741646522244871,1811,
1,C20H22O5,[M + Na]+,C20H22NaO5+,,0.825,5.504,4.405,1.098,0,0.000,-1.135,1.135,-1.139,,365.136,779,12.979,745832826259506164,745741861291623411,12369,
2,C17H23FO6,[M + Na]+,C17H23FNaO6+,,0.047,2.648,-0.010,2.658,0,0.000,-4.265,4.265,-4.269,,365.136,779,12.979,745832826259506165,745741861291623411,12369,
3,C16H18N6O3,[M + Na]+,C16H18N6NaO3+,,0.027,2.096,1.373,0.724,0,0.000,6.219,6.219,6.215,,365.136,779,12.979,745832826259506166,745741861291623411,12369,
4,C14H23N4O4P,[M + Na]+,C14H23N4NaO4P+,,0.017,1.639,-0.754,2.392,0,0.000,1.691,1.691,1.687,,365.136,779,12.979,745832826259506167,745741861291623411,12369,
5,C15H22N2O7,[M + Na]+,C15H22N2NaO7+,,0.017,1.635,0.870,0.765,0,0.000,9.882,9.882,9.878,,365.136,779,12.979,745832826259506168,745741861291623411,12369,
6,C21H18N4O,[M + Na]+,C21H18N4NaO+,,0.016,1.540,1.540,0.000,0,0.000,-4.798,4.798,-4.802,,365.136,779,12.979,745832826259506169,745741861291623411,12369,
7,C12H28N2O5P2,[M + Na]+,C12H28N2NaO5P2+,,0.011,1.206,-0.862,2.068,0,0.000,-2.837,2.837,-2.841,,365.136,779,12.979,745832826259506170,745741861291623411,12369,
8,C13H22N6O3S,[M + Na]+,C13H22N6NaO3S+,,0.009,0.931,0.931,0.000,1,0.033,-11.902,11.902,-3.017,,365.136,779,12.979,745832826259506171,745741861291623411,12369,
9,C13H27O8P,[M + Na]+,C13H27NaO8P+,,0.005,0.437,-1.133,1.570,0,0.000,5.354,5.354,5.350,,365.136,779,12.979,745832826259506172,745741861291623411,12369,
10,C12H26N2O7S,[M + Na]+,C12H26N2NaO7S+,,0.005,0.337,0.337,0.000,0,0.000,0.649,0.649,0.645,,365.136,779,12.979,745832826259506173,745741861291623411,12369,
1,C7H4O,[M + H]+,C7H5O+,,0.982,24.073,23.127,0.947,2,0.821,0.326,7.117,13.310,,105.035,779,12.983,745832825089295176,745741609188738179,114,
2,C4H5FO2,[M + H]+,C4H6FO2+,,0.018,20.062,18.417,1.645,2,0.821,-18.291,18.291,2.429,,105.035,779,12.983,745832825089295177,745741609188738179,114,
3,C2H3FN3O,[M + H]+,C2H4FN3O+,,0.000,9.645,9.645,0.000,1,0.774,10.037,10.037,15.212,,105.035,779,12.983,745832825089295178,745741609188738179,114,
4,C3H7NOP,[M + H]+,C3H8NOP+,,0.000,5.550,5.358,0.192,2,0.821,-4.736,8.146,10.352,,105.035,779,12.983,745832825089295179,745741609188738179,114,
5,C4H8OS,[M + H]+,C4H9OS+,,0.000,1.244,0.391,0.853,1,0.047,-6.791,6.791,-18.785,,105.035,779,12.983,745832825089295180,745741609188738179,114,
6,C3H8O2Si,[M + H]+,C3H9O2Si+,,0.000,0.391,0.391,0.000,0,0.000,,,-16.597,,105.035,779,12.983,745832825089295181,745741609188738179,114,
7,C2H6N3S,[M + H]+,C2H7N3S+,,0.000,-4.215,-4.215,0.000,0,0.000,,,-6.002,,105.035,779,12.983,745832825089295182,745741609188738179,114,
1,C16H28O4,[M + H]+,C16H29O4+,,1.000,36.268,34.320,1.948,11,0.610,1.464,3.771,0.815,,285.206,780,12.993,745832825122849642,745741761043543987,7488,
2,C14H26N3O3,[M + H]+,C14H27N3O3+,,0.000,26.970,25.805,1.165,15,0.785,-0.558,5.459,5.523,,285.206,780,12.993,745832825122849643,745741761043543987,7488,
3,C17H24N4,[M + H]+,C17H25N4+,,0.000,17.637,17.637,0.000,11,0.616,-3.397,5.459,-3.874,,285.206,780,12.993,745832825122849644,745741761043543987,7488,
4,C9H25FN6O3,[M + H]+,C9H26FN6O3+,,0.000,16.778,16.778,0.000,15,0.779,-3.650,5.975,6.223,,285.206,780,12.993,745832825122849645,745741761043543987,7488,
5,C19H26NO,[M + H]+,C19H27NO+,,0.000,15.815,15.815,0.000,10,0.563,-3.662,4.298,-8.582,,285.206,780,12.993,745832825122849646,745741761043543987,7488,
6,C14H25FN4O,[M + H]+,C14H26FN4O+,,0.000,14.356,12.664,1.693,14,0.710,-3.881,4.298,-7.881,,285.206,780,12.993,745832825122849647,745741761043543987,7488,
7,C15H32OSi2,[M + H]+,C15H33OSi2+,,0.000,13.482,13.482,0.000,11,0.583,-1.080,3.771,-0.620,,285.206,780,12.993,745832825122849648,745741761043543987,7488,
8,C11H24BN5O3,[M + H]+,C11H25BN5O3+,,0.000,11.823,11.823,0.000,15,0.736,-3.771,4.694,-6.521,,285.206,780,12.993,745832825122849649,745741761043543987,7488,
9,C16H29FOSi,[M + H]+,C16H30FOSi+,,0.000,10.678,10.678,0.000,9,0.509,2.503,3.771,6.387,,285.206,780,12.993,745832825122849650,745741761043543987,7488,
10,C16H32SSi,[M + H]+,C16H33SSi+,,0.000,4.356,4.356,0.000,6,0.416,-0.684,3.881,-1.426,,285.206,780,12.993,745832825122849651,745741761043543987,7488,
1,C18H28O5,[M + H]+,C18H29O5+,,0.895,14.125,14.125,0.000,4,0.228,-5.370,5.370,-7.108,,325.199,780,12.993,745832832097977759,745741809554873743,9912,
2,C16H26N3O4,[M + H]+,C16H27N3O4+,,0.053,11.290,10.264,1.026,7,0.485,2.800,3.735,-2.979,,325.199,780,12.993,745832832097977760,745741809554873743,9912,
3,C14H24N6O3,[M + H]+,C14H25N6O3+,,0.031,10.767,9.431,1.336,6,0.445,1.153,5.370,1.150,,325.199,780,12.993,745832832097977761,745741809554873743,9912,
4,C13H28N2O7,[M + H]+,C13H29N2O7+,,0.020,10.334,7.998,2.336,7,0.470,-3.644,5.440,5.262,,325.199,780,12.993,745832832097977762,745741809554873743,9912,
5,C12H29N4O4P,[M + H]+,C12H30N4O4P+,,0.000,6.482,3.201,3.281,5,0.405,1.242,2.238,-3.935,,325.199,780,12.993,745832832097977763,745741809554873743,9912,
6,C16H27F3O3,[M + H]+,C16H28F3O3+,,0.000,5.713,3.230,2.482,5,0.268,3.128,5.607,0.409,,325.199,780,12.993,745832832097977764,745741809554873743,9912,
7,C12H22N9O2,[M + H]+,C12H23N9O2+,,0.000,4.855,4.330,0.525,6,0.421,3.515,4.504,5.278,,325.199,780,12.993,745832832097977765,745741809554873743,9912,
8,C19H26F2O2,[M + H]+,C19H27F2O2+,,0.000,4.559,4.559,0.000,4,0.199,-5.370,5.370,3.924,,325.199,780,12.993,745832832097977766,745741809554873743,9912,
9,C14H31NO5P,[M + H]+,C14H32NO5P+,,0.000,3.637,0.824,2.813,4,0.228,-7.427,7.427,-8.064,,325.199,780,12.993,745832832097977767,745741809554873743,9912,
10,C22H25FO,[M + H]+,C22H26FO+,,0.000,2.133,2.133,0.000,3,0.128,0.658,4.370,7.438,,325.199,780,12.993,745832832097977768,745741809554873743,9912,
1,C9H24N3O,[M + H]+,C9H25N3O+,,1.000,48.796,48.796,0.000,8,0.481,-6.242,6.274,3.378,,191.200,780,12.999,745832842487269849,745741667594432243,2830,
2,C7H22N6,[M + H]+,C7H23N6+,,0.000,40.002,40.002,0.000,7,0.472,2.480,4.465,10.400,,191.200,780,12.999,745832842487269850,745741667594432243,2830,
1,C23H33NO8,[M + H]+,C23H34NO8+,,0.695,34.327,31.750,2.577,8,0.783,-2.423,3.104,-0.109,,452.228,781,13.021,745832842470492613,745741963133537643,17082,
2,C19H29N7O6,[M + H]+,C19H30N7O6+,,0.300,33.486,31.619,1.867,10,0.809,1.734,5.170,5.829,,452.228,781,13.021,745832842470492614,745741963133537643,17082,
3,C24H29N5O4,[M + H]+,C24H30N5O4+,,0.002,28.625,28.379,0.246,10,0.809,-5.496,5.496,-3.066,,452.228,781,13.021,745832842470492615,745741963133537643,17082,
4,C21H31N4O7,[M + H]+,C21H32N4O7+,,0.001,28.088,25.622,2.466,9,0.788,0.648,2.293,2.860,,452.228,781,13.021,745832842470492616,745741963133537643,17082,
5,C24H31F2NO5,[M + H]+,C24H32F2NO5+,,0.001,27.777,27.777,0.000,8,0.783,1.734,6.885,7.824,,452.228,781,13.021,745832842470492617,745741963133537643,17082,
6,C21H30FN5O5,[M + H]+,C21H31FN5O5+,,0.000,26.944,24.125,2.819,10,0.808,-1.369,5.170,-5.593,,452.228,781,13.021,745832842470492618,745741963133537643,17082,
7,C16H30FN7O7,[M + H]+,C16H31FN7O7+,,0.000,24.090,20.977,3.113,10,0.809,1.122,5.170,3.302,,452.228,781,13.021,745832842470492619,745741963133537643,17082,
8,C20H34FNO9,[M + H]+,C20H35FNO9+,,0.000,23.985,19.535,4.450,8,0.783,-5.049,5.049,-2.636,,452.228,781,13.021,745832842470492620,745741963133537643,17082,
9,C17H34N5O7P,[M + H]+,C17H35N5O7P+,,0.000,23.411,19.683,3.728,11,0.813,-0.014,3.667,2.173,,452.228,781,13.021,745832842470492621,745741963133537643,17082,
10,C21H32F3NO6,[M + H]+,C21H33F3NO6+,,0.000,23.103,20.284,2.819,8,0.783,1.734,3.702,5.297,,452.228,781,13.021,745832842470492622,745741963133537643,17082,
1,C17H28O2,[M + H]+,C17H29O2+,,1.000,89.783,89.783,0.000,21,0.902,-1.376,4.239,1.880,,265.217,782,13.025,745832846148897907,745741736141956187,6248,
2,C14H29FO3,[M + H]+,C14H30FO3+,,0.000,53.923,51.648,2.276,19,0.868,-6.005,6.005,-2.429,,265.217,782,13.025,745832846148897908,745741736141956187,6248,
3,C15H26N3O,[M + H]+,C15H27N3O+,,0.000,42.094,42.094,0.000,18,0.694,2.533,4.410,6.943,,265.217,782,13.025,745832846148897909,745741736141956187,6248,
4,C13H31NO2P,[M + H]+,C13H32NO2P+,,0.000,38.167,35.761,2.406,20,0.890,-1.834,4.006,0.709,,265.217,782,13.025,745832846148897910,745741736141956187,6248,
